epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,102.719,1.15626,1.60764,2.74589,1.02076,0,0.04808,1,0.52415,0.40546,0.04622,0.94792,0.51898,0.32444,0.70807,0.86159,2.99973,0.7437,0,0.00035007,0.00035007,0.00035007
2,204.859,0.74499,0.79741,1.13044,0.81303,0,0.03969,0.53125,0.49759,0.42882,0.04636,0.75,0.50131,0.36518,0.66987,0.63181,2.70295,0.73351,0,0.000709714,0.000709714,0.000709714
3,306.843,0.66173,0.75197,0.71438,0.80903,0,0.97291,0.5,0.51797,0.44074,0.97291,0.5,0.51936,0.39516,0.69198,0.74507,2.28712,0.75896,0,0.0010621,0.0010621,0.0010621
4,408.597,0.64071,0.70655,0.61589,0.81281,0,0.99813,0.5,0.52643,0.46386,0.99813,0.5,0.52414,0.39967,0.61652,0.67675,1.56386,0.82827,0,0.00140722,0.00140722,0.00140722
5,510.644,0.59218,0.67686,0.56822,0.80888,0,0.99895,0.5,0.92851,0.72416,0.99895,0.5,0.91699,0.55221,0.67826,0.65958,1.04684,0.86592,0,0.00160099,0.00160099,0.00160099
6,612.369,0.55208,0.66913,0.52368,0.81047,0,0.99273,0.98173,0.995,0.82062,0.94944,0.93945,0.93811,0.54395,0.56406,0.6372,0.65009,0.85848,0,0.00158448,0.00158448,0.00158448
7,715.279,0.54895,0.64461,0.48527,0.81493,0,0.9927,0.99918,0.995,0.81834,0.97183,0.97834,0.97376,0.61052,0.52579,0.65691,0.53546,0.85806,0,0.00156798,0.00156798,0.00156798
8,817.312,0.50271,0.61065,0.46808,0.80577,0,0.99151,1,0.995,0.86186,0.98112,0.98958,0.98135,0.56263,0.43184,0.57533,0.41776,0.84066,0,0.00155148,0.00155148,0.00155148
9,919.494,0.50602,0.61664,0.45121,0.80437,0,0.99232,1,0.995,0.86632,0.96113,0.96875,0.95507,0.54766,0.4186,0.61856,0.40674,0.84249,0,0.00153497,0.00153497,0.00153497
10,1022.31,0.52992,0.62544,0.4548,0.80261,0,0.99541,1,0.995,0.84516,0.97458,0.97917,0.96014,0.5529,0.48992,0.61084,0.35961,0.84338,0,0.00151847,0.00151847,0.00151847
11,1125.19,0.52165,0.6267,0.45115,0.80115,0,0.99514,1,0.995,0.84313,0.97435,0.97917,0.97165,0.59474,0.42317,0.60419,0.34608,0.8431,0,0.00150197,0.00150197,0.00150197
12,1227.59,0.48554,0.59791,0.42057,0.80188,0,0.99662,1,0.995,0.84817,0.97579,0.97917,0.95938,0.58778,0.42244,0.55256,0.3394,0.83784,0,0.00148546,0.00148546,0.00148546
13,1329.41,0.45747,0.59452,0.39085,0.79932,0,0.99601,1,0.995,0.86299,0.97518,0.97917,0.97805,0.60516,0.38231,0.60825,0.3206,0.83652,0,0.00146896,0.00146896,0.00146896
