epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.627,0.34326,0.21148,0.90699,0.99985,1,0.995,0.9273,0.41149,0.20996,0.73203,0.000658333,0.000658333,0.000658333
2,524.696,0.36474,0.22641,0.91533,0.99019,1,0.99451,0.93772,0.36005,0.24312,0.72688,0.00131188,0.00131188,0.00131188
3,787.118,0.39442,0.24716,0.92997,0.98156,0.99169,0.99469,0.85553,0.46289,0.50348,0.82836,0.00195223,0.00195223,0.00195223
4,1048.87,0.3822,0.24817,0.92454,0.75534,0.98351,0.95314,0.57091,0.51648,1.86869,0.89295,0.0019406,0.0019406,0.0019406
5,1309.89,0.39239,0.24736,0.93138,0.98208,1,0.99484,0.92361,0.44877,0.39141,0.81859,0.0019208,0.0019208,0.0019208
6,1573.06,0.39253,0.24287,0.93072,0.98787,0.98892,0.99353,0.85939,0.59309,0.33167,0.88628,0.001901,0.001901,0.001901
7,1835.96,0.40371,0.24793,0.93466,0.99981,1,0.995,0.90441,0.46023,0.27134,0.78832,0.0018812,0.0018812,0.0018812
8,2097.64,0.39348,0.24355,0.92459,0.99962,1,0.995,0.92938,0.38774,0.24339,0.73929,0.0018614,0.0018614,0.0018614
9,2359.23,0.38037,0.2412,0.9254,0.99969,1,0.995,0.90558,0.41023,0.24282,0.75082,0.0018416,0.0018416,0.0018416
10,2620.7,0.38664,0.23853,0.92036,0.99968,1,0.995,0.93371,0.36668,0.20903,0.73553,0.0018218,0.0018218,0.0018218
11,2883.74,0.37538,0.23654,0.91435,0.99909,1,0.995,0.94659,0.3343,0.47309,0.70351,0.001802,0.001802,0.001802
12,280.084,0.39611,0.24146,0.92044,0.99981,1,0.995,0.89988,0.39691,0.23062,0.76498,0.0017822,0.0017822,0.0017822
13,546.306,0.3741,0.22999,0.91491,0.99984,1,0.995,0.92309,0.35723,0.21073,0.71786,0.0017624,0.0017624,0.0017624
14,810.533,0.36721,0.22644,0.92135,0.97791,1,0.99464,0.9447,0.36993,0.29788,0.72356,0.0017426,0.0017426,0.0017426
15,1076.89,0.3516,0.22072,0.91175,0.99968,1,0.995,0.95991,0.31542,0.24164,0.69309,0.0017228,0.0017228,0.0017228
16,1342.58,0.34094,0.214,0.90953,0.99966,1,0.995,0.94393,0.31234,0.19448,0.68662,0.001703,0.001703,0.001703
17,1608.27,0.34668,0.21349,0.91102,0.9895,1,0.995,0.92633,0.33097,0.21711,0.71985,0.0016832,0.0016832,0.0016832
18,1873.76,0.35224,0.21777,0.91444,0.94634,1,0.97967,0.90489,0.39336,0.34821,0.72826,0.0016634,0.0016634,0.0016634
19,2138.95,0.35138,0.22037,0.90891,0.96912,1,0.99492,0.93977,0.37694,0.31795,0.74293,0.0016436,0.0016436,0.0016436
20,2405.12,0.33964,0.2172,0.90979,0.99818,1,0.995,0.93954,0.33444,0.30582,0.7141,0.0016238,0.0016238,0.0016238
21,2670.12,0.35238,0.21577,0.90759,0.99972,1,0.995,0.94035,0.32716,0.2212,0.70675,0.001604,0.001604,0.001604
22,2935.92,0.32962,0.20809,0.89886,0.99982,1,0.995,0.95933,0.30746,0.2071,0.69204,0.0015842,0.0015842,0.0015842
23,3201.64,0.33241,0.20695,0.90143,0.99968,1,0.995,0.95518,0.32254,0.22577,0.70691,0.0015644,0.0015644,0.0015644
24,3467.39,0.33149,0.20954,0.91185,0.99973,1,0.995,0.90564,0.41588,0.23399,0.76486,0.0015446,0.0015446,0.0015446
25,3733.34,0.34219,0.21269,0.90378,0.99984,1,0.995,0.92988,0.36006,0.2195,0.71827,0.0015248,0.0015248,0.0015248
26,4000.11,0.31777,0.20384,0.90299,0.99984,1,0.995,0.926,0.38226,0.2516,0.74983,0.001505,0.001505,0.001505
27,4265.98,0.3279,0.20892,0.90233,0.99984,1,0.995,0.92278,0.38454,0.26925,0.74354,0.0014852,0.0014852,0.0014852
28,4530.75,0.34008,0.21662,0.9059,0.98324,1,0.99364,0.91775,0.38263,0.28758,0.70506,0.0014654,0.0014654,0.0014654
29,4796.37,0.32294,0.20976,0.89603,0.99977,1,0.995,0.94329,0.37074,0.21676,0.72603,0.0014456,0.0014456,0.0014456
30,5060.88,0.3193,0.19977,0.89816,0.99983,1,0.995,0.9363,0.34731,0.1841,0.72247,0.0014258,0.0014258,0.0014258
31,273.723,0.32559,0.20456,0.89763,0.99981,1,0.995,0.95186,0.32164,0.21877,0.72666,0.001406,0.001406,0.001406
32,539.533,0.30268,0.19517,0.89359,0.99985,1,0.995,0.95594,0.31709,0.20417,0.68881,0.0013862,0.0013862,0.0013862
33,803.471,0.30304,0.18998,0.89605,0.99982,1,0.995,0.94418,0.32872,0.18625,0.67976,0.0013664,0.0013664,0.0013664
34,1068.81,0.29091,0.18784,0.89181,0.99898,1,0.995,0.94119,0.31533,0.23285,0.67576,0.0013466,0.0013466,0.0013466
35,1333.88,0.29332,0.1877,0.89246,0.99985,1,0.995,0.95763,0.29445,0.19412,0.68164,0.0013268,0.0013268,0.0013268
36,1597.85,0.30333,0.19239,0.89474,0.99979,1,0.995,0.94254,0.33799,0.19469,0.70302,0.001307,0.001307,0.001307
37,1861.66,0.29891,0.19234,0.89333,0.99913,1,0.995,0.93725,0.33239,0.40229,0.69259,0.0012872,0.0012872,0.0012872
38,2125.09,0.30698,0.20011,0.89122,0.99981,1,0.995,0.96067,0.28517,0.20881,0.67538,0.0012674,0.0012674,0.0012674
39,2390.26,0.29313,0.19442,0.89322,0.99984,1,0.995,0.9531,0.29778,0.1884,0.67058,0.0012476,0.0012476,0.0012476
40,2654.63,0.29852,0.19321,0.88973,0.99984,1,0.995,0.92634,0.38101,0.19383,0.6983,0.0012278,0.0012278,0.0012278
41,2919.83,0.29169,0.18773,0.88701,0.99935,1,0.995,0.94977,0.31249,0.28786,0.70311,0.001208,0.001208,0.001208
42,3184.73,0.29548,0.18656,0.88912,0.99983,1,0.995,0.94398,0.31178,0.21498,0.706,0.0011882,0.0011882,0.0011882
43,3449.57,0.28368,0.18626,0.89357,0.99937,1,0.995,0.94402,0.34221,0.22319,0.71293,0.0011684,0.0011684,0.0011684
44,3713.62,0.28745,0.18448,0.88441,0.99965,1,0.995,0.92327,0.33858,0.21719,0.72434,0.0011486,0.0011486,0.0011486
45,3978.22,0.27553,0.17618,0.88915,0.99984,1,0.995,0.95445,0.28541,0.1728,0.66906,0.0011288,0.0011288,0.0011288
46,4243.66,0.27681,0.17914,0.88624,0.99964,1,0.995,0.96898,0.26897,0.2358,0.64849,0.001109,0.001109,0.001109
47,4508.56,0.28797,0.1835,0.88882,0.99984,1,0.995,0.93783,0.32441,0.19266,0.70226,0.0010892,0.0010892,0.0010892
