epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5368,0.17805,0.14959,0.851,0.53309,1,0.995,0.995,0.17925,0.95714,0.70488,0.00038,0.00038,0.00038
2,124.904,0.21033,0.16075,0.85087,0.99412,1,0.995,0.995,0.16696,0.11718,0.70228,0.000772278,0.000772278,0.000772278
3,187.538,0.23039,0.17253,0.85596,0.98636,1,0.995,0.97988,0.27977,0.47408,0.88843,0.00115664,0.00115664,0.00115664
4,249.92,0.2338,0.18123,0.86126,0.99202,1,0.995,0.995,0.20172,0.19177,0.73295,0.00153307,0.00153307,0.00153307
5,312.065,0.2279,0.18352,0.85597,0.99419,1,0.995,0.97825,0.25654,0.16932,0.74247,0.00190159,0.00190159,0.00190159
6,374.019,0.24499,0.19975,0.86922,0.99417,1,0.995,0.995,0.22105,0.12571,0.7158,0.001901,0.001901,0.001901
7,435.728,0.25337,0.19962,0.85833,0.9937,1,0.995,0.97513,0.22274,0.19167,0.75821,0.0018812,0.0018812,0.0018812
8,498.254,0.24619,0.20455,0.88499,0.97751,1,0.995,0.90956,0.29526,0.69653,0.79596,0.0018614,0.0018614,0.0018614
9,560.562,0.25412,0.20566,0.8721,0.97947,1,0.995,0.995,0.27267,0.9611,0.84038,0.0018416,0.0018416,0.0018416
10,622.748,0.252,0.192,0.86099,0.95656,1,0.995,0.9265,0.29314,1.17515,0.74085,0.0018218,0.0018218,0.0018218
11,684.922,0.27267,0.20229,0.86498,0.88024,1,0.995,0.88925,0.28116,0.58566,0.78448,0.001802,0.001802,0.001802
12,747.138,0.25519,0.19945,0.86723,0.99412,1,0.995,0.30029,2.81943,2.55852,2.67478,0.0017822,0.0017822,0.0017822
13,809.501,0.25904,0.19977,0.86959,0.55619,1,0.995,0.995,0.20874,0.49725,0.7329,0.0017624,0.0017624,0.0017624
14,871.513,0.24881,0.1953,0.87497,0.99345,1,0.995,0.983,0.26412,0.18204,0.76863,0.0017426,0.0017426,0.0017426
15,933.734,0.2327,0.18827,0.86047,0.99327,1,0.995,0.995,0.20375,0.16167,0.75135,0.0017228,0.0017228,0.0017228
16,995.921,0.2347,0.17472,0.8574,0.99274,1,0.995,0.995,0.24267,0.27375,0.7731,0.001703,0.001703,0.001703
17,1058.16,0.23747,0.18883,0.86016,0.99402,1,0.995,0.995,0.24404,0.22047,0.76451,0.0016832,0.0016832,0.0016832
18,1120.35,0.22872,0.18714,0.85966,0.99222,1,0.995,0.995,0.23468,0.30447,0.75329,0.0016634,0.0016634,0.0016634
19,1182.68,0.22626,0.18747,0.86832,0.98163,1,0.995,0.995,0.18755,0.14326,0.73625,0.0016436,0.0016436,0.0016436
20,1244.77,0.21823,0.18747,0.85688,0.99382,1,0.995,0.995,0.21327,0.24297,0.75435,0.0016238,0.0016238,0.0016238
21,1306.91,0.22275,0.17703,0.85584,0.99409,1,0.995,0.96135,0.26531,0.24984,0.76554,0.001604,0.001604,0.001604
22,1369.05,0.21308,0.17285,0.85673,0.99391,1,0.995,0.97206,0.22599,0.16174,0.72788,0.0015842,0.0015842,0.0015842
23,1431.24,0.21849,0.17427,0.8603,0.99414,1,0.995,0.96135,0.26452,0.15431,0.7882,0.0015644,0.0015644,0.0015644
24,1493.18,0.22078,0.17617,0.85718,0.99406,1,0.995,0.995,0.20683,0.15177,0.74549,0.0015446,0.0015446,0.0015446
25,1555.45,0.22218,0.17328,0.86806,0.99384,1,0.995,0.97988,0.26174,0.28582,0.78172,0.0015248,0.0015248,0.0015248
26,1617.67,0.22572,0.17547,0.85189,0.99407,1,0.995,0.995,0.19925,0.13295,0.7162,0.001505,0.001505,0.001505
27,1680.17,0.21333,0.17054,0.86467,0.99413,1,0.995,0.97206,0.2087,0.1383,0.72483,0.0014852,0.0014852,0.0014852
28,1742.52,0.20828,0.16948,0.85205,0.99411,1,0.995,0.995,0.20551,0.14278,0.72676,0.0014654,0.0014654,0.0014654
29,1804.74,0.20027,0.16285,0.85967,0.99418,1,0.995,0.995,0.18983,0.1642,0.71621,0.0014456,0.0014456,0.0014456
30,1866.49,0.19358,0.15477,0.85419,0.99407,1,0.995,0.995,0.18283,0.12203,0.7112,0.0014258,0.0014258,0.0014258
31,1928.79,0.18569,0.15352,0.84095,1,1,0.995,0.995,0.21524,0.13296,0.7339,0.001406,0.001406,0.001406
32,1990.88,0.19505,0.16029,0.85536,0.994,1,0.995,0.995,0.18685,0.12909,0.71896,0.0013862,0.0013862,0.0013862
33,2052.82,0.19534,0.16316,0.84976,0.99361,1,0.995,0.995,0.21171,0.13953,0.74095,0.0013664,0.0013664,0.0013664
34,2114.63,0.19373,0.16236,0.84972,0.98632,1,0.995,0.983,0.28794,0.37438,0.78766,0.0013466,0.0013466,0.0013466
35,2176.79,0.19678,0.15389,0.85602,0.99391,1,0.995,0.97206,0.21809,0.14899,0.7294,0.0013268,0.0013268,0.0013268
36,2238.88,0.20397,0.16355,0.85192,0.99392,1,0.995,0.97362,0.23341,0.15115,0.72684,0.001307,0.001307,0.001307
37,2300.87,0.19595,0.15469,0.85553,1,1,0.995,0.995,0.18413,0.13482,0.72053,0.0012872,0.0012872,0.0012872
38,2362.62,0.2053,0.15769,0.84967,1,1,0.995,0.995,0.24898,0.14475,0.7423,0.0012674,0.0012674,0.0012674
